0.281,-0  0  0,-0.717284  -2.69215  -54.1171,-3.49183 0.979087 -54.6537,-0  0  0
0.288, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.289, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.29, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.291, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.292, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.294, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.295, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.298, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.3, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.305, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.308, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.309, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.311, 0 -0  0, -1.46181 -0.503778   -49.454, -1.86283 0.0178314  -50.7963, 0 -0  0
0.316, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.317, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.318, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.32, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.322, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.326, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.327, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.328, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.329, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.33, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.332, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.333, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.334, 0 -0  0, -1.25366 -0.266187  -46.4248, -1.07395 -0.513382  -48.2399, 0 -0  0
0.337, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.339, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.34, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.346, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.349, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.35, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.351, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.352, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.354, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.355, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.356, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.363, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.364, 0 -0  0,-0.659211 -0.452348  -44.2731,-0.665008 -0.454253  -46.3818, 0 -0  0
0.367, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.368, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.369, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
0.37, 0 -0  0, 0.232499 -0.379987  -42.4636, 0.145112 -0.271418  -44.8075, 0 -0  0
