0,0 0 0,1 1 0,0 0 0,0 0 1
0.215,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.224,-0.376533  -0.41089   -40.515,0 0 0,0 0 0, -0.154774 -0.0803364   -43.8047
0.228,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.229,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.23,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.231,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.232,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.233,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.234,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.247,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.248,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.249,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.25,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.251,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.252,-0  0  0,-0.579291   -1.3322  -42.0693,-0.391137  -1.59447   -48.314,-0  0  0
0.255,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.256,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.264,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.265,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.266,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.267,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.267,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.268,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.269,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.27,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.281,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.282,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.283,-0  0  0,-0.266433   -1.9639  -50.6297,  -1.67481 -0.0941617   -53.2585,-0  0  0
0.286, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.288, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.289, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.289, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.291, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.302, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.303, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.304, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.304, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.305, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.306, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
0.307, 0 -0  0,-0.950254 -0.958702  -47.3877, -1.29004 -0.527296  -49.8439, 0 -0  0
