0.224,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.225,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.227,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.228,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.23,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.238,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.24,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.241,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.243,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.249,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.251,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.252,-0  0  0,-0.552496  -1.44669  -41.5012,-0.479226  -1.53952  -47.3802,-0  0  0
0.256,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.258,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.259,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.26,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.262,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.263,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.264,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.266,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.267,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.268,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.27,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.271,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.273,-0  0  0,-0.713514  -2.71869  -54.0743,-3.50116  0.97042 -54.6532,-0  0  0
0.277, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.278, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.28, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.281, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.294, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.295, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.297, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.298, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.301, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.302, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.304, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.306, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.307, 0 -0  0,  -1.4669 -0.524533  -49.4275,  -1.87164 0.00109775   -50.7936, 0 -0  0
0.312, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.314, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.316, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.318, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.32, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.322, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.323, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.325, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.327, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.328, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.33, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.331, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.333, 0 -0  0, -1.26413 -0.282211  -46.4212,-1.07591 -0.54064 -48.2786, 0 -0  0
0.338, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.34, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.342, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.344, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.346, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.347, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.349, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.35, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.352, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.354, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.359, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.36, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.362, 0 -0  0,-0.668243 -0.473076  -44.2726,-0.673307  -0.47585  -46.4069, 0 -0  0
0.369, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.371, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.373, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.375, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.376, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.378, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.38, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.382, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.384, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.385, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.387, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.388, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.388, 0 -0  0, 0.224531 -0.400261  -42.4644, 0.136271 -0.290505  -44.8214, 0 -0  0
0.393, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.394, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.395, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.395, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.396, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
0.397, 0 -0  0, 0.909863 -0.183479   -42.322, 0.964724 -0.256727  -44.0333, 0 -0  0
