0.292, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.293, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.294, 0 -0  0,-0.913143 -0.972781  -47.7018, -1.27074 -0.543367  -49.9964, 0 -0  0
0.302, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.304, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.304, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.305, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.306, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.307, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.308, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.31, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.325, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.329, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.33, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.331, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.332, 0 -0  0,-0.959283 -0.776485  -45.6966,-0.768733  -1.03987  -48.1494, 0 -0  0
0.336, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.337, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.338, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.339, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.34, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.341, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.342, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.348, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.349, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.35, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.352, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.353, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.354, 0 -0  0,-0.332846 -0.971335  -43.8665,-0.506262 -0.771443  -46.1843, 0 -0  0
0.358, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.359, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.36, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.361, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.362, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
0.363, 0 -0  0, 0.272312 -0.746707  -40.3334, 0.294569 -0.790324   -42.802, 0 -0  0
