output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15
1.10408,-0.156873,0.213,1.14192,0.122839,0.213,0.759112,-0.151539,0.105,0.737474,0.139767,0.105,0.197215,-0.00585826,0.0327397
1.10402,-0.156764,0.213,1.14221,0.122932,0.213,0.759441,-0.151485,0.105,0.737408,0.139839,0.105,0.197204,-0.00583854,0.0328085
1.10396,-0.15666,0.213,1.1425,0.123022,0.213,0.759772,-0.151434,0.105,0.737346,0.139907,0.105,0.197193,-0.00581879,0.0328787
1.1039,-0.156548,0.213,1.14278,0.123119,0.213,0.720103,-0.151375,0.105,0.737283,0.139984,0.105,0.197182,-0.00579952,0.0329491
1.10384,-0.156441,0.213,1.14308,0.123211,0.213,0.720444,-0.15132,0.105,0.737232,0.140055,0.105,0.19717,-0.00578001,0.0330211
1.1038,-0.156327,0.213,1.14338,0.123311,0.213,0.72079,-0.151258,0.105,0.737187,0.140134,0.105,0.197159,-0.00576079,0.0330946
1.10376,-0.15621,0.213,1.14369,0.123412,0.213,0.721141,-0.151194,0.105,0.737148,0.140215,0.105,0.197147,-0.00574171,0.0331695
1.10372,-0.156098,0.213,1.144,0.12351,0.213,0.721495,-0.151133,0.105,0.737113,0.140292,0.105,0.197134,-0.00572278,0.0332456
1.10368,-0.155979,0.213,1.14431,0.123615,0.213,0.72185,-0.151064,0.105,0.737079,0.140377,0.105,0.197122,-0.00570454,0.0333219
1.10365,-0.155865,0.213,1.14464,0.123715,0.213,0.722216,-0.151,0.105,0.737058,0.140458,0.105,0.197109,-0.00568623,0.0333999
1.10328,-0.155621,0.213,1.14461,0.123947,0.213,0.722235,-0.150809,0.105,0.736699,0.140663,0.105,0.197094,-0.0056656,0.0334942
1.10315,-0.155461,0.213,1.14484,0.124095,0.213,0.722506,-0.150699,0.105,0.736589,0.140787,0.105,0.197078,-0.00564564,0.0335916
1.10304,-0.155279,0.213,1.14509,0.124265,0.213,0.722792,-0.150567,0.105,0.736498,0.140933,0.105,0.197062,-0.00562634,0.0336859
1.10293,-0.155098,0.213,1.14533,0.124434,0.213,0.723078,-0.150435,0.105,0.736407,0.141079,0.105,0.197047,-0.00560738,0.0337792
1.10284,-0.154918,0.213,1.1456,0.124602,0.213,0.723381,-0.150303,0.105,0.736336,0.141225,0.105,0.197032,-0.00558877,0.0338714
1.10275,-0.154731,0.213,1.14586,0.124777,0.213,0.723687,-0.150163,0.105,0.736267,0.141378,0.105,0.197016,-0.00557059,0.0339627
1.10268,-0.154552,0.213,1.14615,0.124945,0.213,0.724009,-0.15003,0.105,0.736219,0.141525,0.105,0.197001,-0.00555302,0.034053
1.10262,-0.15436,0.213,1.14645,0.125125,0.213,0.724339,-0.149883,0.105,0.736177,0.141685,0.105,0.196986,-0.00553609,0.034142
1.10257,-0.154171,0.213,1.14676,0.125301,0.213,0.72468,-0.149738,0.105,0.73615,0.141844,0.105,0.196972,-0.00551999,0.0342303
1.10253,-0.153975,0.213,1.14709,0.125485,0.213,0.725041,-0.149584,0.105,0.736143,0.142012,0.105,0.196957,-0.00550467,0.0343173
1.10252,-0.153778,0.213,1.14743,0.12567,0.213,0.72542,-0.149428,0.105,0.736156,0.142181,0.105,0.196942,-0.0054898,0.034404
1.10251,-0.153575,0.213,1.14779,0.12586,0.213,0.725805,-0.149265,0.105,0.736174,0.142357,0.105,0.196927,-0.00547547,0.0344899
1.10251,-0.153378,0.213,1.14815,0.126046,0.213,0.726193,-0.149107,0.105,0.736197,0.142528,0.105,0.196913,-0.0054614,0.0345758
1.10253,-0.153172,0.213,1.14853,0.126239,0.213,0.726602,-0.148941,0.105,0.736242,0.142707,0.105,0.196898,-0.00544739,0.034661
1.10252,-0.152999,0.213,1.14888,0.1264,0.213,0.726982,-0.148806,0.105,0.736258,0.142855,0.105,0.196884,-0.00543355,0.0347463
1.10251,-0.15286,0.213,1.14924,0.126526,0.213,0.727366,-0.148704,0.105,0.73628,0.14297,0.105,0.196868,-0.005421,0.0348381
1.14176,-0.154956,0.213,1.14911,0.12666,0.213,0.727263,-0.148592,0.105,0.735573,0.140853,0.105,0.19685,-0.00541005,0.0349374
1.14211,-0.15484,0.213,1.1491,0.126798,0.213,0.727276,-0.148469,0.105,0.735979,0.140955,0.105,0.196831,-0.00540204,0.0350459
1.14237,-0.15473,0.213,1.14902,0.126928,0.213,0.727198,-0.14835,0.105,0.736311,0.141051,0.105,0.196809,-0.00539534,0.0351708
1.14261,-0.154617,0.213,1.14893,0.12706,0.213,0.727111,-0.148229,0.105,0.736654,0.141149,0.105,0.196783,-0.00538882,0.0353183
1.14281,-0.154495,0.213,1.14883,0.127199,0.213,0.726996,-0.1481,0.105,0.736986,0.141254,0.105,0.196752,-0.00538164,0.0354894
