horizonLength,bezierHeight,delta,steps,pitch_ascension,offset,Pf,des_vel
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158352   0.14307    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221842 -0.144589    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221569 0.143411   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158157  -0.14495    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158431   0.14305    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221775 -0.144613    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221503 0.143387   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158225 -0.144972    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158497  0.143028    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,  0.22172 -0.144638    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22145 0.143361   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158279 -0.144995    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158549  0.143005    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221666 -0.144669    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221398  0.14333   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158333 -0.145024    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158602  0.142975    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221613 -0.144694    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221345 0.143305   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158387 -0.145048    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158655  0.142951    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221562 -0.144724    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221295 0.143276   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158437 -0.145077    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158704  0.142923    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,0.221513 -0.14476   -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221246 0.143239   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158487 -0.145113    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158753  0.142887    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221465 -0.144804    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221199 0.143196   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158534 -0.145155    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, -0.1588 0.142844   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221419 -0.144835    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221154 0.143164   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158581 -0.145185    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158846  0.142814    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221374 -0.144874    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22111 0.143126   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158626 -0.145223    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15889 0.142777   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,  0.22133 -0.144907    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221066 0.143092   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15867 -0.145256    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158933  0.142744    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221286 -0.144954    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.221024 0.143046   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158713 -0.145301    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.158976  0.142698    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221243 -0.144989    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220981  0.14301   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158756 -0.145336    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159018  0.142664    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221201 -0.145031    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220939 0.142968   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158799 -0.145377    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159061  0.142622    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221155 -0.145081    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220894 0.142919   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158844 -0.145427    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159106  0.142572    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221105 -0.145119    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220844  0.14288   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158894 -0.145464    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159155  0.142535    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221055 -0.145164    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220794 0.142835   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158944  -0.14551    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159205   0.14249    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,  0.22102 -0.145204    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220759 0.142795   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158979  -0.14555    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15924  0.14245   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221011 -0.145251    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22075 0.142748   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158988 -0.145597    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159249  0.142402    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221013 -0.145295    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220752 0.142704   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.158987 -0.145641    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159248  0.142358    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.221009 -0.145351    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220748 0.142648   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15899 -0.145697    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159252  0.142302    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220999 -0.145395    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220738 0.142603   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,   -0.159 -0.145742    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159261  0.142256    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220985 -0.145447    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220723 0.142552   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159015 -0.145795    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159276  0.142204    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220964 -0.145494    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220702 0.142505   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159035 -0.145841    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159297  0.142157    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220939 -0.145547    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220677 0.142452   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15906 -0.145895    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159323  0.142103    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220909 -0.145595    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220646 0.142403   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159091 -0.145944    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159353  0.142055    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220874 -0.145657    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220612 0.142341   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159125 -0.146005    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159387  0.141993    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220831 -0.145706    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220569 0.142292   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159169 -0.146053    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15943 0.141945   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220779 -0.145757    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22052 0.142241   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15922 -0.146102    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15948 0.141896   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220725 -0.145815    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220467 0.142183   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159274 -0.146158    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159533   0.14184    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,0.220667 -0.14587   -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22041 0.142128   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159333  -0.14621    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159589  0.141788    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220606 -0.145925    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.220352 0.142073   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159393 -0.146262    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159647  0.141736    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.220541 -0.145981    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22029 0.142016   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.159459 -0.146314    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.159709  0.141683    -0.003,0 0 0
